,Simple1,Simple2,Simple3
$\alpha$,0.2,0.6,0.005
$l_0$,-9935.289314894551,-9935.289314894551,-9935.289314894551
SSE,8869728883819.795,10560635345516.95,7557101157860.964
MAPE,102.09077948911114,153.6646560764397,99.83719826239066
MSE,2070655166.7148745,2095784007.4474676,2070649279.6376545
Time,0:00:00.014078,0:00:00.010741,0:00:00.017595
