iter	Passed	Remaining
409	4560	6562
410	4571	6550
411	4581	6539
412	4591	6525
413	4602	6515
414	4613	6503
415	4624	6492
416	4637	6483
417	4646	6469
418	4658	6459
419	4670	6450
420	4683	6440
421	4696	6432
422	4706	6419
423	4716	6407
424	4728	6398
425	4741	6388
426	4751	6376
427	4763	6366
428	4775	6356
429	4787	6346
430	4799	6335
431	4808	6322
432	4819	6310
433	4830	6300
434	4842	6289
435	4853	6278
436	4863	6266
437	4875	6256
438	4890	6249
439	4904	6242
440	4917	6233
441	4931	6225
442	4945	6218
443	4958	6209
444	4971	6200
445	4984	6191
446	4995	6180
447	5009	6173
448	5024	6165
449	5038	6157
450	5054	6152
451	5066	6142
452	5076	6130
453	5090	6121
454	5103	6113
455	5117	6104
456	5130	6095
457	5143	6087
458	5157	6078
459	5169	6068
460	5183	6060
461	5197	6052
462	5211	6044
463	5223	6034
464	5239	6027
465	5253	6019
466	5265	6009
467	5274	5996
468	5285	5984
469	5295	5971
470	5306	5960
471	5318	5949
472	5328	5937
473	5340	5926
474	5352	5916
475	5362	5903
476	5373	5891
477	5384	5880
478	5393	5866
479	5402	5853
480	5414	5842
481	5424	5829
482	5435	5818
483	5447	5807
484	5459	5796
485	5470	5785
486	5480	5772
487	5490	5760
488	5502	5750
489	5515	5740
490	5526	5729
491	5538	5718
492	5548	5705
493	5559	5695
494	5572	5684
495	5583	5673
496	5593	5660
497	5604	5649
498	5613	5636
499	5626	5626
500	5637	5615
501	5649	5604
502	5661	5593
503	5672	5582
504	5682	5569
505	5692	5557
506	5704	5547
507	5714	5534
508	5726	5523
509	5736	5511
510	5745	5497
511	5756	5486
512	5766	5474
513	5778	5463
514	5790	5453
515	5802	5442
516	5811	5429
517	5822	5417
518	5831	5404
519	5841	5391
520	5853	5381
521	5862	5368
522	5873	5357
523	5884	5345
524	5895	5334
525	5905	5321
526	5917	5311
527	5927	5299
528	5937	5286
529	5947	5274
530	5957	5262
531	5969	5251
532	5981	5240
533	5993	5230
534	6003	5218
535	6015	5207
536	6027	5197
537	6038	5185
538	6049	5173
539	6062	5163
540	6075	5154
541	6085	5142
542	6095	5130
543	6108	5120
544	6119	5108
545	6132	5098
546	6141	5086
547	6151	5074
548	6164	5063
549	6173	5050
550	6182	5038
551	6194	5027
552	6207	5017
553	6220	5007
554	6232	4997
555	6244	4986
556	6256	4975
557	6267	4964
558	6277	4952
559	6286	4939
560	6296	4927
561	6308	4916
562	6319	4904
563	6331	4894
564	6341	4882
565	6353	4871
566	6363	4859
567	6374	4848
568	6384	4836
569	6394	4823
570	6406	4813
571	6415	4800
572	6426	4789
573	6438	4778
574	6448	4766
575	6460	4755
576	6473	4745
577	6485	4735
578	6497	4724
579	6506	4711
580	6518	4700
581	6529	4689
582	6540	4678
583	6552	4667
584	6564	4656
585	6575	4645
586	6586	4634
587	6599	4624
588	6611	4613
589	6626	4604
590	6640	4595
591	6653	4585
592	6669	4577
593	6682	4567
594	6697	4558
595	6713	4550
596	6727	4541
597	6737	4529
598	6746	4516
599	6756	4504
600	6768	4493
601	6778	4481
602	6787	4468
603	6800	4458
604	6811	4446
605	6823	4436
606	6834	4424
607	6844	4413
608	6855	4401
609	6865	4389
610	6874	4377
611	6884	4364
612	6895	4353
613	6905	4341
614	6915	4329
615	6926	4318
616	6939	4307
617	6950	4296
618	6962	4285
619	6973	4274
620	6983	4261
621	6996	4251
622	7006	4239
623	7017	4228
624	7026	4216
625	7040	4206
626	7053	4196
627	7066	4185
628	7079	4175
629	7091	4164
630	7106	4155
631	7121	4146
632	7132	4135
633	7147	4126
634	7160	4115
635	7170	4103
636	7179	4091
637	7189	4079
638	7200	4068
639	7210	4055
640	7220	4043
641	7230	4031
642	7242	4021
643	7252	4009
644	7265	3999
645	7279	3988
646	7291	3978
647	7302	3966
648	7313	3955
649	7324	3943
650	7337	3933
651	7347	3921
652	7357	3909
653	7370	3899
654	7380	3887
655	7392	3876
656	7402	3864
657	7413	3853
658	7425	3842
659	7434	3830
660	7444	3818
661	7457	3807
662	7469	3796
663	7478	3784
664	7490	3773
665	7499	3761
666	7509	3749
667	7521	3738
668	7532	3726
669	7542	3714
670	7552	3703
671	7561	3690
672	7570	3678
673	7580	3666
674	7593	3656
675	7604	3644
676	7613	3632
677	7623	3620
678	7633	3608
679	7682	3615
680	7695	3605
681	7712	3596
682	7722	3584
683	7733	3572
684	7745	3561
685	7755	3550
686	7767	3538
687	7779	3527
688	7791	3516
689	7803	3505
690	7813	3494
