iter	RMSE
354	512.5500453
355	512.3353506
356	512.0352928
357	511.9191504
358	511.6633138
359	511.3487033
360	511.1846622
361	510.9476249
362	510.6806266
363	510.4227284
364	510.1913507
365	510.022979
366	509.7900306
367	509.5403963
368	509.3671102
369	509.1455413
370	508.9655113
371	508.742581
372	508.4901577
373	508.2405376
374	508.0538651
375	507.8906756
376	507.6657837
377	507.442786
378	507.2414598
379	507.0350038
380	506.8185276
381	506.6051074
382	506.4903234
383	506.2845952
384	506.0999056
385	505.9309663
386	505.8456826
387	505.600609
388	505.4257222
389	505.1942475
390	505.0624964
391	504.8259622
392	504.5476978
393	504.4071766
394	504.3211134
395	504.1414956
396	504.0394165
397	503.9584154
398	503.8922976
399	503.7005424
400	503.5788905
401	503.3915345
402	503.203409
403	503.0167101
404	502.8876662
405	502.714223
406	502.5303582
407	502.2936853
408	502.241321
409	502.0574049
410	501.9283312
411	501.824705
412	501.7503929
413	501.5898197
414	501.3800873
415	501.2060981
416	501.0451491
417	500.8958044
418	500.7239809
419	500.6392795
420	500.5065922
421	500.2716734
422	500.1659767
423	500.0288739
424	499.8493981
425	499.6485314
426	499.464753
427	499.2399828
428	499.1429303
429	498.9749323
430	498.866613
431	498.8068695
432	498.6532522
433	498.4955437
434	498.3575085
435	498.2671035
436	498.1083637
437	497.9488711
438	497.773093
439	497.610355
440	497.4002045
441	497.221754
442	497.0588428
443	496.8897399
444	496.7136437
445	496.6191818
446	496.5461259
447	496.416048
448	496.2635394
449	496.1439638
450	495.9810833
451	495.8080077
452	495.6962191
453	495.5500869
454	495.3815223
455	495.1899682
456	495.0186194
457	494.8812863
458	494.69127
459	494.6174834
460	494.5179693
461	494.3723009
462	494.2298768
463	494.1133057
464	493.9587122
465	493.7802506
466	493.6786156
467	493.5296964
468	493.4481948
469	493.314751
470	493.1559953
471	493.0133324
472	492.8681282
473	492.7055378
474	492.5479972
475	492.4236288
476	492.3333938
477	492.21125
478	492.1505238
479	492.0681939
480	491.9233133
481	491.7917418
482	491.7155684
483	491.586093
484	491.4536777
485	491.3479093
486	491.2516926
487	491.1157053
488	490.9509889
489	490.814077
490	490.6845527
491	490.5452926
492	490.4301085
493	490.3008079
494	490.184681
495	490.0850807
496	489.9896284
497	489.8492884
498	489.7874084
499	489.6434276
500	489.5394068
501	489.4203255
502	489.3032233
503	489.1753611
504	489.0418126
505	488.9360569
506	488.7976128
507	488.7392326
508	488.6165038
509	488.4935244
510	488.4161639
511	488.2780027
512	488.2169496
513	488.0881538
514	487.9896971
515	487.8702742
516	487.777431
517	487.6621308
518	487.6150417
519	487.5431353
520	487.416033
521	487.3734907
522	487.2680559
523	487.2051973
524	487.0655531
525	487.0194745
526	486.9031289
527	486.8161669
528	486.7637754
529	486.656327
530	486.5632905
531	486.4741795
532	486.3551035
533	486.2501831
534	486.1671991
535	486.0636579
536	485.9410623
537	485.8244487
538	485.7206121
539	485.5862799
540	485.4670491
541	485.4051674
542	485.3019071
543	485.2073997
544	485.1197179
545	485.0124738
546	484.9440545
547	484.8527645
548	484.732249
549	484.6905294
550	484.6428433
551	484.5189941
552	484.4158106
553	484.3277907
554	484.2173148
555	484.0992069
556	483.948836
557	483.8568126
558	483.7494779
559	483.69886
560	483.6029236
561	483.5008603
562	483.4114138
563	483.3043197
564	483.2344073
565	483.1305417
566	483.0265661
567	482.938987
568	482.8477307
569	482.770293
570	482.6577767
571	482.6225814
572	482.5274144
573	482.423795
574	482.3520076
575	482.249308
576	482.1440545
577	482.0454611
578	481.9163619
579	481.8423911
580	481.7383866
581	481.6552206
582	481.5758318
583	481.5353056
584	481.4315207
585	481.4016782
586	481.350742
587	481.2718373
588	481.2016887
589	481.1024799
590	481.0027706
591	480.9091418
592	480.8140469
593	480.7249565
594	480.6431794
595	480.5419144
596	480.4351296
597	480.3960441
598	480.3618676
599	480.3001185
600	480.2001761
601	480.1279947
602	480.0627123
603	479.9598383
604	479.8833329
605	479.8004603
606	479.7215383
607	479.6405469
608	479.547075
609	479.48218
610	479.4136639
611	479.3725501
612	479.2819531
613	479.209445
614	479.168566
615	479.0669875
616	478.9679426
617	478.8880884
618	478.7909087
619	478.7210833
620	478.6725968
621	478.5904745
622	478.5413627
623	478.469794
624	478.4334511
625	478.3611554
626	478.3275324
627	478.2480001
628	478.2071756
629	478.1346395
630	478.051269
631	477.982904
632	477.9170534
633	477.8348975
634	477.7773069
635	477.7528701
636	477.7070418
637	477.6869155
638	477.6419667
639	477.5976359
640	477.5356967
641	477.474178
642	477.3800805
643	477.3415624
644	477.2565849
645	477.1830417
646	477.0906209
647	477.0182132
648	476.9440185
649	476.8496023
650	476.7751875
651	476.706283
652	476.6510236
653	476.5628165
654	476.5243758
655	476.4482475
656	476.4193969
657	476.3505247
658	476.2711005
659	476.2413502
660	476.2040961
661	476.1051914
662	476.0202803
663	475.9486546
664	475.8830871
665	475.8269678
666	475.7741468
667	475.6960481
668	475.6263966
669	475.5747751
670	475.5206397
671	475.4736043
672	475.4413096
673	475.3612072
674	475.2707121
675	475.2044067
676	475.1726472
677	475.1337133
678	475.0723293
679	474.9783277
680	474.9294114
681	474.8509667
682	474.8287039
683	474.7465868
684	474.661098
685	474.6045131
686	474.5322287
687	474.4649201
688	474.387035
689	474.3075418
690	474.234594
691	474.1664805
692	474.1224578
693	474.0536938
694	473.9717653
695	473.9249189
696	473.8738927
697	473.831941
698	473.7291299
699	473.6404346
700	473.6054211
701	473.5761949
702	473.5274033
703	473.4897462
704	473.4650761
705	473.3918416
706	473.3167697
707	473.2378523
708	473.1650713
709	473.0992254
710	473.0219181
711	472.944846
712	472.8639399
713	472.7964453
714	472.7320707
715	472.6721717
716	472.6501845
717	472.5710837
718	472.5360656
719	472.4791678
720	472.437893
721	472.4000601
722	472.3270948
723	472.2546846
724	472.1677614
725	472.129583
726	472.0628726
727	471.9891224
728	471.9505607
729	471.8756188
730	471.8101191
731	471.7485813
732	471.6855919
733	471.6538339
734	471.5918449
735	471.5478688
736	471.489233
737	471.4208629
738	471.3737063
739	471.301916
740	471.2427561
741	471.1757382
742	471.1201319
743	471.0991766
744	471.067027
745	470.9820433
746	470.9193108
747	470.8583032
748	470.8010897
749	470.7389131
750	470.6771045
751	470.6062694
752	470.5292414
753	470.4665838
754	470.3996353
755	470.3336147
756	470.2873558
757	470.2372754
758	470.1737221
759	470.1508139
760	470.0997541
761	470.0272287
762	469.9606824
763	469.8999969
764	469.8377077
765	469.7677333
766	469.712566
767	469.6751751
768	469.6181973
769	469.5609528
770	469.4947814
771	469.4632565
772	469.4387424
773	469.4044975
774	469.3842454
775	469.3416356
776	469.2898731
777	469.2732245
778	469.2162114
779	469.1441228
780	469.0949074
781	469.0398217
782	468.9904704
783	468.9592725
784	468.9040248
785	468.8461377
786	468.7930186
787	468.7397249
788	468.6985758
789	468.6771592
790	468.6200924
791	468.5626036
792	468.5209701
793	468.4821199
794	468.4474025
795	468.3839003
796	468.3145194
797	468.2427305
798	468.1933727
799	468.1565265
800	468.1101359
801	468.0368179
802	467.9877967
803	467.969197
804	467.9012129
805	467.8333818
806	467.7902974
807	467.7538294
808	467.7002744
809	467.6459591
810	467.5886765
811	467.5628573
812	467.511096
813	467.4513442
814	467.416985
815	467.356291
816	467.2950221
817	467.2381635
818	467.1823804
819	467.120165
820	467.0852009
821	467.0387315
822	467.0052052
823	466.9735678
824	466.9365567
825	466.9071824
826	466.8509858
827	466.787333
828	466.7262869
829	466.668359
830	466.6106943
831	466.5560169
832	466.5079359
833	466.4793255
834	466.4186929
835	466.3529218
836	466.3067862
837	466.2475697
838	466.2105628
839	466.1710561
840	466.124491
841	466.0816513
842	466.0314895
843	466.0086616
844	465.9514003
845	465.9209183
846	465.8866295
847	465.8486694
848	465.7989441
849	465.7234553
850	465.6909842
851	465.6194893
852	465.5996884
853	465.5847805
854	465.5701803
855	465.5140085
856	465.4345837
857	465.3857374
858	465.344779
859	465.2904776
860	465.2671273
861	465.2214561
862	465.1654213
863	465.1441053
864	465.1003771
865	465.0797594
866	465.0370002
867	465.0063595
868	464.989187
869	464.9441754
870	464.9252477
871	464.8642267
872	464.8106073
873	464.7604236
874	464.7256801
875	464.6967323
876	464.6488477
877	464.6024458
878	464.5894752
879	464.5576192
880	464.4984433
881	464.4518345
882	464.4096898
883	464.357288
884	464.2984184
885	464.2754134
886	464.2368509
887	464.1878286
888	464.1517501
889	464.1071439
890	464.0751182
891	464.0132049
892	463.9676399
893	463.9173371
894	463.8598546
895	463.8336404
896	463.7748885
897	463.7466139
898	463.7041147
899	463.6483976
900	463.6074834
901	463.566634
902	463.5481974
903	463.497839
904	463.4415841
905	463.4012433
906	463.3497189
907	463.3000774
908	463.2468279
909	463.205993
910	463.1456348
911	463.0953681
912	463.0587884
913	463.0013581
914	462.957591
915	462.9184317
916	462.874989
917	462.8273834
918	462.7982157
919	462.7424427
920	462.6934963
921	462.6353144
922	462.5898071
923	462.5590066
924	462.5186461
925	462.4886932
926	462.4738111
927	462.4445476
928	462.3832595
929	462.3260187
930	462.2856509
931	462.238584
932	462.1910325
933	462.1450555
934	462.0996107
935	462.0461776
936	461.999971
937	461.9796399
938	461.9545012
939	461.9384184
940	461.8950194
941	461.8676909
942	461.8234475
943	461.8020783
944	461.7549028
945	461.7059315
946	461.6618896
947	461.6138256
948	461.5891704
949	461.5692958
950	461.5176714
951	461.4837364
952	461.4673618
953	461.4460144
954	461.3911886
955	461.3580416
956	461.3370238
957	461.3160091
958	461.2626139
959	461.2267388
960	461.185378
961	461.1405474
962	461.1017368
963	461.081873
964	461.046545
965	460.9893472
966	460.9410614
967	460.8967643
968	460.8730274
969	460.8618924
970	460.816266
971	460.796616
972	460.7526712
973	460.719108
974	460.6945984
975	460.6535272
976	460.6130287
977	460.5863812
978	460.5315108
979	460.5125658
980	460.4645461
981	460.4243974
982	460.3851817
983	460.3469172
984	460.2894485
985	460.254358
986	460.2141005
987	460.1897837
988	460.1715133
989	460.1300701
990	460.0836462
991	460.044609
992	460.0218367
993	459.9871848
994	459.9667102
995	459.9324617
996	459.9011157
997	459.8821092
998	459.8524452
999	459.8179646
